id;ccode1;ccode2;year;trade1;trade2
38033;40;663;2009;0.08;0.08
38095;40;666;2009;0;0
38178;40;670;2009;1.06;0.7
38263;40;679;2009;0.02;0.01
38336;40;690;2009;0;0.55
38375;40;692;2009;0;2.88
38414;40;694;2009;0;1.07
38453;40;696;2009;0;2.51
38492;40;698;2009;0.15;0
38582;40;700;2009;-9;-9
38601;40;701;2009;-9;-9
38620;40;702;2009;-9;-9
38639;40;703;2009;0;0.04
38658;40;704;2009;-9;-9
38677;40;705;2009;5.04;46.41
38783;40;710;2009;1071.83;613.54
38872;40;712;2009;1.07;0.02
38933;40;713;2009;-9;-9
38999;40;731;2009;0;0
39060;40;732;2009;53.21;8.46
39160;40;740;2009;56.65;13.79
39223;40;750;2009;24.42;1.44
39262;40;760;2009;-9;-9
39325;40;770;2009;1.02;0.66
39363;40;771;2009;0;-9
39425;40;775;2009;0;-9
39487;40;780;2009;0;0
39532;40;781;2009;-9;-9
39622;40;790;2009;-9;-9
39728;40;800;2009;3.41;1.22
39785;40;811;2009;-9;0.01
39842;40;812;2009;-9;-9
39898;40;816;2009;264.77;0
39973;40;820;2009;3.09;1.06
40018;40;830;2009;1.33;3.38
40044;40;835;2009;-9;0
40108;40;840;2009;1.12;2.85
40169;40;850;2009;7.09;1.27
40177;40;860;2009;-9;-9
40267;40;900;2009;2.24;5.69
40302;40;910;2009;-9;0
40392;40;920;2009;3.32;0.83
40421;40;935;2009;-9;-9
40453;40;940;2009;-9;-9
40464;40;946;2009;-9;-9
40474;40;947;2009;-9;-9
40514;40;950;2009;0;0
40525;40;955;2009;0;0
40536;40;970;2009;-9;-9
40555;40;983;2009;-9;-9
40571;40;986;2009;-9;-9
40590;40;987;2009;-9;-9
40624;40;990;2009;0;0
40722;41;42;2009;775.85;14.48
40770;41;51;2009;7.58;0.17
40818;41;52;2009;13.5;0.45
40862;41;53;2009;1.7;0.11
40894;41;54;2009;0.02;0.02
40930;41;55;2009;0;0
40961;41;56;2009;0;0.05
40992;41;57;2009;0;0.03
41021;41;58;2009;0;0
41048;41;60;2009;0;0.06
41170;41;70;2009;25.34;14.78
41199;41;80;2009;0.03;0
41321;41;90;2009;19.77;0.01
41414;41;91;2009;7.72;0
41531;41;92;2009;3.82;0
41623;41;93;2009;4.57;0
41699;41;94;2009;12.41;0.15
41775;41;95;2009;0.08;0
41897;41;100;2009;67.29;0.96
42019;41;101;2009;15.89;0
42063;41;110;2009;4.58;0
42098;41;115;2009;0.03;0
42220;41;130;2009;0.91;0
42342;41;135;2009;53.26;0.01
42464;41;140;2009;34.89;0.96
42586;41;145;2009;0;0
42703;41;150;2009;0;0
42825;41;155;2009;9.87;0.07
42947;41;160;2009;35.44;0.05
43057;41;165;2009;4.45;0
43179;41;200;2009;10.85;6.21
43255;41;205;2009;2.12;0.03
43373;41;210;2009;23.91;2.27
43491;41;211;2009;19.69;5.66
43564;41;212;2009;0.05;0
43685;41;220;2009;45.03;6.27
43702;41;221;2009;-9;-9
43722;41;223;2009;-9;-9
